zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
ZINCf50000043HgD,C[C@H](N)CCNC(=O)Cc1cc(O)no1,213.237,-0.2238000000000001,3,5,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.2959666132442,6.581650897884793,39.81401384083044,15.434137549586788,1129
ZINCf5000000aqbW,O=C(NC1CC(CO)C1)c1nsnc1O,229.261,-0.25559999999999994,3,6,3,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.295861956266965,6.574998197401985,40.05657327586208,15.43405905685386,1130
ZINCf50000043IdM,C[C@@H](O)CCNc1cnn(CC(N)=O)c1,212.253,-0.4488000000000003,3,5,6,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.292331463350282,6.5938137747508225,39.2864900086881,15.431411187166349,1131
ZINCf5000002sLh7,Cc1c(C(=O)NCC#CCO)ncn1C,207.233,-0.5459800000000006,2,4,2,1,0,,,27.630006336628888,10,6,4,6,3,1,2,2,2,15.726841794277618,11.364854991679438,6.724038732439287,36.68246005202527,15.4311428279168,1132
ZINCf5000000a7Ek,Cc1nc(C(=O)NCC=CCO)n(C)n1,210.237,-0.5981800000000002,2,5,4,1,0,,,27.630006336628888,10,6,4,6,3,1,2,2,2,15.726841794277618,11.364672776812917,6.724038732439287,36.67866371354744,15.431006166766908,1133
ZINCf5000002ovhp,Cc1nc(C(=O)NNC(=O)[C@@H](C)N)co1,212.20899999999997,-0.9087799999999995,3,5,2,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.834163715381624,6.88187474975579,42.20658813263524,15.430975170141453,1134
ZINCf5000002NwYO,C[C@@H](CCO)NC(=O)Cc1nnc(O)s1,231.277,-0.32670000000000055,3,6,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.290040927270741,6.581650897884793,39.66725043782837,15.429693285106694,1135
ZINCf5000002r9jA,CC[C@@H](NC)C(=O)NCC[C@@H](O)CCO,218.29699999999997,-0.7659999999999991,4,4,8,1,0,,,27.922636973639708,10,7,3,7,4,1,3,3,3,28.209155710884225,11.264389681890783,6.949874240523281,29.70604674796748,15.428951504828014,1136
ZINCf50000043F9Y,C[C@@H](CCO)NC(=O)Cc1cc(O)no1,214.22099999999998,-0.19020000000000048,3,5,5,1,0,,,27.848650358614552,9,5,4,5,3,1,0,0,0,0.0,11.288931911313087,6.581650897884793,39.63988616462347,15.428861523138455,1137
ZINCf5000000918D,CCOC1CN(CCC(=O)NC(N)=O)C1,215.25300000000001,-0.7078999999999991,2,4,5,1,0,,,24.86753910191044,9,5,4,5,3,1,1,1,1,7.932521475509632,12.280979368912583,7.113978205943098,44.872958257713236,15.427619302162048,1138
ZINCf500000362nP,NC(=O)CSCC(=O)OCc1ncsn1,247.301,-0.20020000000000038,1,7,6,1,0,,,25.406811937958164,9,5,4,5,3,1,1,1,1,7.932521475509632,12.099507607762868,7.035489004173062,43.17891493838292,15.426333690311692,1139
ZINCf5000000agna,NC(=O)COC1CN(Cc2ccco2)C1,210.23299999999998,-0.03429999999999955,1,4,5,1,0,,,27.40262207992505,9,5,4,5,2,1,0,0,0,0.0,11.43372069637166,6.735002438507333,37.81698915274113,15.425946042260009,1140
ZINCf50000035eog,C[C@@H](C(=O)NNC(N)=O)c1ccn(C)c1,210.23700000000002,-0.17189999999999994,3,3,2,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.823585057708689,6.889111947143596,41.67214912280702,15.423041176886754,1141
ZINCf5000000SJhB,C#C[C@H](CO)NCc1cc(C#N)n(C)c1,203.245,-0.019520000000000648,2,4,4,1,0,,,27.630006336628888,10,6,4,6,3,1,2,2,2,15.726841794277618,11.350925076255177,6.744154370694587,35.81593338304749,15.420695391348605,1142
ZINCf5000002oKoE,Cc1ncoc1CN(C)C(=O)CNC=O,211.221,-0.31258,1,4,5,1,0,,,27.367333869898136,10,6,4,6,3,1,2,2,2,15.726841794277618,11.436625586394488,6.722607224698621,38.27759040659548,15.4193026572704,1143
ZINCf50000009BLb,CONC(=O)CNc1nnccc1C#N,207.193,-0.5622199999999999,2,6,4,1,0,,,30.212503638592192,10,5,5,5,2,1,0,0,0,0.0,10.487549319865973,6.212062872656287,33.64148964070286,15.418787899547528,1144
ZINCf50000008KjO,CC(=O)NCCNC(=O)Cc1cncs1,227.28900000000002,-0.062100000000000266,2,4,5,1,0,,,26.221409534420943,9,4,5,4,2,1,0,0,0,0.0,11.816284785316162,6.960097612823486,39.090302491103195,15.417565972592357,1145
ZINCf5000002bbr3,COCC[C@H](CO)N[C@@H](C)c1nc[nH]n1,214.26900000000003,-0.14730000000000038,3,5,7,1,0,,,29.843934320818928,10,6,4,6,4,1,1,1,1,7.932521475509632,10.606960564855937,6.364493359688361,31.81295854326882,15.416204003846683,1146
ZINCf5000002oTcd,CN(C)[C@@H](CO)C(=O)NCc1cscn1,229.305,-0.31820000000000004,2,5,5,1,0,,,28.216693496625318,10,5,5,5,3,1,1,1,1,7.932521475509632,11.148096414067178,6.682868063018323,33.59484279024509,15.415245684706713,1147
