system,shortlist_fraction,n_native_scored,n_actives_retained,active_retention,compute_reduction,n_input,n_actives_input,n_candidates
MDM2-p53,0.23767957683760663,7207,42,0.84,4.377688358540308,31550,50,30322
MDM2-p53,0.2600113905930703,7885,42,0.84,4.001268230818009,31550,50,30322
MDM2-p53,0.2844414490199701,8625,42,0.84,3.6579710144927535,31550,50,30322
MDM2-p53,0.3111668982502514,9436,42,0.84,3.3435777871979653,31550,50,30322
MDM2-p53,0.340403407802512,10322,42,0.84,3.0565781825227667,31550,50,30322
MDM2-p53,0.3723869109958247,11292,42,0.84,2.794013460857244,31550,50,30322
MDM2-p53,0.4073755088887481,12353,42,0.84,2.5540354569740145,31550,50,30322
MDM2-p53,0.44565155310796406,13514,42,0.84,2.3346159538256623,31550,50,30322
MDM2-p53,0.4875239243745958,14783,42,0.84,2.1342082121355612,31550,50,30322
MDM2-p53,0.5333305251154955,16172,42,0.84,1.950902794954242,31550,50,30322
MDM2-p53,0.5834410062744237,17692,42,0.84,1.7832918833371014,31550,50,30322
MDM2-p53,0.6382597503279897,19354,42,0.84,1.6301539733388446,31550,50,30322
MDM2-p53,0.6982291345787537,21172,42,0.84,1.4901757037596826,31550,50,30322
MDM2-p53,0.7638331010596642,23161,42,0.84,1.3622037045032598,31550,50,30322
MDM2-p53,0.8356010618583211,25338,42,0.84,1.245165364275002,31550,50,30322
MDM2-p53,0.9141121713763147,27718,42,0.84,1.1382495129518724,31550,50,30322
MDM2-p53,1.0,30322,42,0.84,1.0404986478464482,31550,50,30322
